motif_family	TF	std_over_alpha_traj	std_over_beta_traj	cc_over_alpha_traj	time_max_cc_over_alpha_traj	cc_over_beta_traj	time_max_cc_over_beta_traj	z_score
Irf2_Irf1_Irf8_Irf9_Irf7	Irf2	0.0172781909906796	0.0171439882567378	0.914452306930425	0	0.976452271089371	1	1.61307151696459
Irf2_Irf1_Irf8_Irf9_Irf7	Irf1	0.0172781909906796	0.0171439882567378	NaN	NaN	NaN	NaN	1.61307151696459
Irf2_Irf1_Irf8_Irf9_Irf7	Irf8	0.0172781909906796	0.0171439882567378	NaN	NaN	NaN	NaN	1.61307151696459
Irf2_Irf1_Irf8_Irf9_Irf7	Irf9	0.0172781909906796	0.0171439882567378	NaN	NaN	NaN	NaN	1.61307151696459
Irf2_Irf1_Irf8_Irf9_Irf7	Irf7	0.0172781909906796	0.0171439882567378	NaN	NaN	NaN	NaN	1.61307151696459
Irf3	Irf3	0.00849017604055124	0.008557429433644	0.26401386983677	-1	0.149315894392464	-1570	1.48706734182959
Irx2_Irx3	Irx2	0.00721321007920743	0.00144977292752439	0.307392868169445	1577	0.176781911697721	-1386	2.29894023911429
Irx2_Irx3	Irx3	0.00721321007920743	0.00144977292752439	NaN	NaN	NaN	NaN	2.29894023911429
Isl1	Isl1	0.0239484860014537	0.00422233286585241	0.305010709379257	1568	0.256901559316727	-1481	1.43007773224314
Klf12_Klf14_Sp4	Klf12	0.00306627724482401	0.00279704955736908	NaN	NaN	NaN	NaN	1.61467643195014
Klf12_Klf14_Sp4	Klf14	0.00306627724482401	0.00279704955736908	NaN	NaN	NaN	NaN	1.61467643195014
Klf12_Klf14_Sp4	Sp4	0.00306627724482401	0.00279704955736908	0.1690646938687	1610	0.289085040559901	-1502	1.61467643195014
Klf13	Klf13	0.0084580344443853	0.00310467484250855	0.886159027201463	-43	0.28445819313691	-151	1.77116868942874
Klf3	Klf3	0.0264320201108163	0.0296225378237083	0.235939210844221	885	0.227417147851171	-1477	2.07074377946315
Klf4_Sp3	Klf4	0.00177683920424577	0.00185445732652096	NaN	NaN	NaN	NaN	3.06037003457787
Klf4_Sp3	Sp3	0.00177683920424577	0.00185445732652096	0.156535096726874	-1092	0.952722769576291	1	3.06037003457787
Klf6_Patz1	Klf6	0.00109417310626254	0.00270424921236997	0.352543049816613	1652	0.992169468177826	1	1.33264284544308
Klf6_Patz1	Patz1	0.00109417310626254	0.00270424921236997	0.297590731122202	1596	0.924861484824932	-33	1.33264284544308
Klf7	Klf7	0.0249988663434308	0.00173485772039993	0.297619852889976	1573	0.764319994556826	150	2.06312351804631
